date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:52	1380/1380	---M--	200	added ('OK')	font/woff	etag:%22564-63b945a790584%22	https://fieges-stammhaus.de/wp-content/themes/vantage/icons/vantage-icons.woff	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/themes/vantage/icons/vantage-icons.woff	(from https://fieges-stammhaus.de/wp-content/themes/vantage/style.css?ver=83547a206813a5062c3b4efa78745917)
14:56:52	1304/1304	---M--	200	added ('OK')	font/ttf	etag:%22518-63b945a790177%22	https://fieges-stammhaus.de/wp-content/themes/vantage/icons/vantage-icons.ttf?	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/themes/vantage/icons/vantage-iconsd41d.ttf	(from https://fieges-stammhaus.de/wp-content/themes/vantage/style.css?ver=83547a206813a5062c3b4efa78745917)
14:56:53	1177/1177	---M--	200	added ('OK')	image/svg+xml	etag:%22499-63b945a78fd87%22	https://fieges-stammhaus.de/wp-content/themes/vantage/icons/vantage-icons.svg	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/themes/vantage/icons/vantage-icons.svg	(from https://fieges-stammhaus.de/wp-content/themes/vantage/style.css?ver=83547a206813a5062c3b4efa78745917)
14:56:54	224648/224648	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2236d88-63b945a789837%22	https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfont.eot?v=4.7.0	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfont3e6e.eot	(from https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/css/font-awesome.css?ver=4.6.2)
14:56:54	86976/86976	---M--	200	added ('OK')	font/woff2	etag:%22153c0-63b945a78ceba%22	https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfont.woff2?v=4.7.0	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfont3e6e.woff2	(from https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/css/font-awesome.css?ver=4.6.2)
14:56:55	224648/224648	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2236d88-63b945a789837%22	https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfont.eot?	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfontd41d.eot	(from https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/css/font-awesome.css?ver=4.6.2)
14:56:55	224468/224468	---M--	200	added ('OK')	font/ttf	etag:%2236cd4-63b945a78af9e%22	https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfont3e6e.ttf	(from https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/css/font-awesome.css?ver=4.6.2)
14:56:56	2685/2685	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Feb%202026%2007:56:55%20GMT	https://fieges-stammhaus.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffieges-stammhaus.de%2Fihr-brauhaus-in-bochum%2F	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-json/oembed/1.0/embedfc0c.json	(from https://fieges-stammhaus.de/ihr-brauhaus-in-bochum/)
14:56:56	224540/224540	---M--	200	added ('OK')	font/woff	etag:%2236d1c-63b945a78c6ce%22	https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfont.woff?v=4.7.0	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/fonts/fontawesome-webfont3e6e.woff	(from https://fieges-stammhaus.de/wp-content/themes/vantage/fontawesome/css/font-awesome.css?ver=4.6.2)
14:56:56	2871/2871	---MCZ	200	added ('OK')	text/xml	date:Thu,%2005%20Feb%202026%2007:56:56%20GMT	https://fieges-stammhaus.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffieges-stammhaus.de%2Fihr-brauhaus-in-bochum%2F&format=xml	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-json/oembed/1.0/embedb711	(from https://fieges-stammhaus.de/ihr-brauhaus-in-bochum/)
14:56:57	17981/17981	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Feb%202026%2007:56:56%20GMT	https://fieges-stammhaus.de/wp-json/wp/v2/pages/74	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-json/wp/v2/pages/74.json	(from https://fieges-stammhaus.de/ihr-brauhaus-in-bochum/)
14:56:58	2873/2873	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Feb%202026%2007:56:57%20GMT	https://fieges-stammhaus.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffieges-stammhaus.de%2Fmenue%2F	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-json/oembed/1.0/embed3cce.json	(from https://fieges-stammhaus.de/menue/)
14:56:58	3063/3063	---MCZ	200	added ('OK')	text/xml	date:Thu,%2005%20Feb%202026%2007:56:58%20GMT	https://fieges-stammhaus.de/wp-json/oembed/1.0/embed?url=https%3A%2F%2Ffieges-stammhaus.de%2Fmenue%2F&format=xml	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-json/oembed/1.0/embed2e1c	(from https://fieges-stammhaus.de/menue/)
14:56:59	13071/13071	---MC-	200	added ('OK')	application/json	date:Thu,%2005%20Feb%202026%2007:56:59%20GMT	https://fieges-stammhaus.de/wp-json/wp/v2/pages/4	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-json/wp/v2/pages/4.json	(from https://fieges-stammhaus.de/menue/)
14:57:00	44844/44844	---M--	200	added ('OK')	image/jpeg	etag:%22af2c-520e55206fcd7%22	https://fieges-stammhaus.de/wp-content/uploads/2015/09/Menue_1.jpg	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/uploads/2015/09/Menue_1.jpg	(from https://fieges-stammhaus.de/menue/)
14:57:00	55718/55718	---M--	200	added ('OK')	image/jpeg	etag:%22d9a6-520e55219120c%22	https://fieges-stammhaus.de/wp-content/uploads/2015/09/Menue_2.jpg	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/uploads/2015/09/Menue_2.jpg	(from https://fieges-stammhaus.de/menue/)
14:57:01	63066/63066	---M--	200	added ('OK')	image/jpeg	etag:%22f65a-520f382a0011d%22	https://fieges-stammhaus.de/wp-content/uploads/2015/09/Menue_3neu.jpg	E:/SPN/NhaHang/res2/fieges-stammhaus.de/wp-content/uploads/2015/09/Menue_3neu.jpg	(from https://fieges-stammhaus.de/menue/)
